precio,fecha_salida,url,linea,modelo,descripcion,marca,imagen
199.99,2022-06-08 7:00,https://www.nike.com/es/launch/t/womens-air-jordan-3-dark-mocha,Air Jordan 3 para mujer,Dark Mocha,"Ha habido muchas versiones de las Air Jordan 3. Esta vez, vienen con una combinación de colores de inspiración napolitana. La parte superior de piel en un blanco impecable combina con el estampado Dark Mocha tipo elefante, que envuelve la puntera y el talón en el ya característico estilo de las AJ3. Para dar un toque de contraste, presentan una mediasuela en Atmosphere Pink y un bordado Jumpman en la lengüeta que añade una nota brillante y exquisita.",nike,
149.99,2022-06-14 7:00,https://www.nike.com/es/launch/t/ct0979-500-w-air-jordan-1-zoom-air-cmft-venice-emea,Air Jordan 1 Zoom Air Comfort,Venice,"Pásate a la comodidad de las Air Jordan 1 Zoom Air Comfort. Este modelo se ha actualizado para crear una versión más funcional de las zapatillas más icónicas de la historia. Además, combina una parte superior de piel flor con un forro cómodo y una amortiguación reactiva.",nike,
149.99,2022-06-10 7:00,https://www.nike.com/es/launch/t/air-max-97-coconut-milk-black,Air Max 97,Coconut Milk and Black,"Muévete a toda velocidad sin renunciar al estilo con las Air Max 97. El diseño icónico inspirado en los trenes balas japoneses y las gotas de agua se reinterpreta con tejidos transpirables ideales para el verano y piel premium. La parte superior en coconut milk con detalles en cargo khaki se combina con una suela exterior negra para conseguir un estilo atemporal perfecto para disfrutar del sol. Además, la amortiguación Nike Air completa te proporciona una elegancia de primer nivel.",nike,
119.99,2022-06-11 7:00,https://www.nike.com/es/launch/t/womens-air-rift-magma-orange-rattan,Air Rift para mujer,Magma Orange and Rattan,"¿Son unas zapatillas o unas sandalias? Juega al despiste y disfruta del sol con mucho estilo. Este modelo ideal para el verano incorpora una parte superior transpirable con lona clásica de color rattan y correas de cierre por contacto que permiten personalizar el ajuste fácilmente. Además, el diseño con separación entre los dedos aporta un toque divertido y estival a cualquier look, y te proporciona estabilidad y comodidad a cada paso. La amortiguación Air del talón y la mediasuela de espuma suave le ofrecen a tus pies un más que merecido descanso.",nike,
109.99,2022-06-06 7:00,https://www.nike.com/es/launch/t/sb-dunk-low-valor-blue-team-maroon,SB Dunk Low,Valor Blue and Team Maroon,"El cuerpo te pedirá jugar al béisbol, sobre todo con estas SB Dunk Low. Este modelo especial de ante de color valor blue con un llamativo Swoosh en team marron rinde homenaje a los looks vintage de las leyendas del béisbol. Póntelas y ve al parque. Solo tendrás que preocuparte de no pisar ningún chicle por el camino.",nike,
179.99,2022-06-10 7:00,https://www.nike.com/es/launch/t/air-max-97-black-university-red-emea,Air Max 97,Black and University Red,"Muévete a toda velocidad sin renunciar al estilo con las Air Max 97. El diseño icónico inspirado en los trenes balas japoneses y las gotas de agua se reinterpreta con malla de tejido Woven técnico, ideal para el verano, y piel premium. La parte superior negra con llamativos detalles en university red ofrece un estilo atrevido y versátil. Además, la amortiguación Nike Air completa te proporciona una comodidad de primer nivel.",nike,
189.99,2022-06-13 7:00,https://www.nike.com/es/launch/t/womens-air-max-95-earth-day,Air Max 95 para mujer,Earth Day,"Con motivo del Día de la Tierra, las Air Max 95 presentan un diseño en colores naturales con materiales como el nobuck, la lona y el tricot grueso. Los colores night forest y matte olive decoran la parte superior clásica con ondas. Los cordones con un estilo tipo cuerda y el bordado de la lengüeta destacan una profunda conexión con la naturaleza.",nike,
119.99,2022-06-06 7:00,https://www.nike.com/es/launch/t/sb-dunk-high-rush-blue-team-orange,SB Dunk High,Rush Blue and Team Orange,"La base de color cloud grey de estas SB Dunk High especiales pide a gritos un logotipo Swoosh en rush blue y team orange, una combinación de colores clásica que ha triunfado durante décadas entre los amantes de las zapatillas. ¿A qué esperas para ponértelas? Están listas para cualquier partido, solo tienes que avanzar hasta la siguiente base.",nike,
179.99,2022-06-14 7:00,https://www.nike.com/es/launch/t/acg-mountain-fly-low-gore-tex-dark-smoke-grey,ACG Mountain Fly Low GORE-TEX,Dark Smoke Grey,"Descubre unas zapatillas de lo más resistentes especialmente diseñadas para los senderos. Esta temporada, actualizamos las ACG Mountain Fly Low con una parte superior impermeable de la famosa marca GORE-TEX para hacer frente a los climas más difíciles y ayudarte a superar todo lo que la naturaleza te depare. Diseñadas para los terrenos más difíciles, su mediasuela React ofrece reactividad, amortiguación y comodidad durante todo el día, mientras que la suela exterior aporta una pisada robusta. Además, los cordones superpuestos reflectantes de senderismo y la parte superior antidesgarro convierten este modelo ACG en tu básico favorito para cualquier aventura. ",nike,
179.99,2022-06-04 7:00,https://www.nike.com/es/launch/t/air-max-97-atlantic-blue-voltage-yellow,Air Max 97,Atlantic Blue and Voltage Yellow,"Para celebrar el 35 aniversario de las Air Max y el 25 aniversario de las populares Air Max 97, este modelo en Atlantic Blue combina dos combinaciones de colores icónicas que se lanzaron por última vez en 2017 en una innovadora versión. El color Atlantic Blue y las rayas reflectantes se fusionan en un modelo ondulado con una bandeleta negra mientras la unidad Air Max y el Swhoosh Voltage Yellow añaden un electrizante toque de color al estilo de las AM97 clásicas.",nike,
179.99,2022-06-04 7:00,https://www.nike.com/es/launch/t/air-max-97-atlantic-blue-voltage-yellow,Air Max 97 para mujer,Atlantic Blue and Voltage Yellow,"Dale velocidad a tu look con esta combinación de colores de celebración, lanzada por primera vez en el 20 aniversario de las Air Max 97. Ahora, en homenaje a sus 25 años de estilo de primera, la malla en plata metalizado recuerda al diseño icónico inspirado en los trenes de alta velocidad japoneses, mientras que las ondas de piel nobuck en atlantic blue aportan un acabado elegante. Además, la unidad Nike Air completa en voltage yellow añade un toque de energía a cada pisada.",nike,
199.99,2022-06-04 7:00,https://www.nike.com/es/launch/t/air-jordan-6-white-university-red,Air Jordan 6,White and University Red,"Las sextas zapatillas exclusivas de MJ se lanzaron durante la temporada 1990-91 y siempre se recordarán como las que llevaba cuando ganó su primer anillo. Las Air Jordan 6 presentan una combinación de colores sutil perfecta para combinar con looks de verano. La piel blanca impecable y las perforaciones transpirables mantienen la frescura. Además, los detalles atrevidos en University Red y las clásicas salpicaduras blancas añaden un toque de intriga. Para terminar, la suela exterior translúcida aporta frescura en cada pisada.",nike,
224.99,2022-06-03 7:00,https://www.nike.com/es/launch/t/air-jordan-2-a-ma-maniere-sail-burgundy,Air Jordan 2 x A Ma Maniére,Sail and Burgundy,"En su tercera colaboración retro con la franquicia Jordan, la marca de James Whitner, A Ma Maniére, presenta su lujosa versión de las Air Jordan 2. En su momento, las AJ2 se diseñaron con un estilo más elegante. Estaban hechas en Italia con piel de efecto lagarto, líneas finas y un distintivo diseño sin Swoosh. Sin embargo, durante los 35 años desde el lanzamiento de estas zapatillas, nuestro concepto del lujo se ha ampliado. A Ma Maniére se ha inspirado en el concepto de ""Airness"", un compromiso con la grandeza y la excelencia para animar a comunidades de todo el mundo y hablar de la importancia de la unidad y la humanidad. Así, ha creado un nuevo lenguaje de diseño que no limita los adornos y que ofrece un look que lleva más allá la elegancia de este modelo.",nike,
199.99,2022-06-03 7:00,https://www.nike.com/es/launch/t/air-jordan-5-green-bean-emea,Air Jordan 5,Green Bean,"Vuelven las populares zapatillas de 2006 en un diseño retro y reflectante. Este modelo presenta una parte superior totalmente en Silver que destaca de noche con un toque reflectante que te encantará. Durante el día, los detalles en Green Bean que decoran el logotipo Jumpman, el forro y la mediasuela añaden una nota llamativa para que la parte superior de un mismo tono no pase desapercibida. Tanto si quieres deslumbrar como si prefieres lucir un look más sencillo con una nota de color, apuesta por las Air Jordan 5 ""Green Bean"", que se mantienen fieles a su innovador diseño original que reflejaba el estilo del nuevo milenio.",nike,
